C1_B,C2_B,C3_B,C4_B,,C1_G,C2_G,C3_G,C4_G,C1_BG,C4_BG,DropoutRate,TOT_6_10_15,Enrolled_primary,P_Enrollment_Rate,P_URB_POP,OVERALL_LIT_Rate,FEMALE_LIT,SCH1,SCH2,SCH3,SCH6,Total_schools_withPrimary,SCOMP1,SCOMP2,SCOMP3,SCOMP6,Schools_with_computers,Percent_schools_with_computers,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL6,Schools_with_boys_toilets,Percent_schools_with_boys_toilet,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL6,Schools_with_girls_toilets,Percent_schools_with_girls_toilet,SPLAY1,SPLAY2,SPLAY3,SPLAY6,Schools_with_playground,Percent_schools_with_playground,SWAT1,SWAT2,SWAT3,SWAT6,Schools_with_drinking_water,Percent_schools_with_drinking_water,SELE1,SELE2,SELE3,SELE6,Schools_with_electricity,Percent_schools_with_electricity,ROAD1,ROAD2,ROAD3,ROAD6,Schools_with_Roads,Percent_schools_with_Roads,CLS1,CLS2,CLS3,CLS6,Number of Classrooms,TOTCLMJ1G,TOTCLMJ2G,TOTCLMJ3G,TOTCLMJ6G,Classrooms_requiring_major repair,Percent_classrooms_requiring_major repair,STCH1,STCH2,STCH3,STCH6,Total_sinle_teacher_schools,Percent_single_teacher_schools
23139,22617,22402,22098,4.498897964,21930,20912,21717,21234,45069,43332,3.854090395,201555,176049,87.3453896,17.31,66.34,52.39,1504,713,16,86,2319,31,131,15,31,208,8.969383355,1500,701,16,85,2302,99.2669254,1500,707,14,86,2307,99.48253558,829,412,14,63,1318,56.8348426,1480,702,16,86,2284,98.49072876,73,217,15,38,343,14.79085813,795,508,16,72,1391,59.98275119,4823,5762,253,939,11777,235,439,0,47,721,6.122102403,413,13,0,0,426,18.36998706
22545,20586,21254,19348,14.18052783,21769,19556,20457,18448,44314,37796,14.70866995,184920,163963,88.66699113,4.91,57.68,44.9,1133,680,12,81,1906,15,33,3,15,66,3.462749213,1083,629,8,79,1799,94.386149,1080,619,7,78,1784,93.59916055,278,173,5,31,487,25.55089192,886,633,12,76,1607,84.31269675,35,86,3,22,146,7.660020986,592,497,9,70,1168,61.28016789,3498,4698,119,674,8989,194,255,12,50,511,5.684725776,254,18,1,3,276,14.48058762
20709,19468,20729,17728,14.39470762,19786,18831,20060,16868,40495,34596,14.56723052,165130,154179,93.36825531,13.86,53.73,44.31,1044,571,6,54,1675,26,52,4,15,97,5.791044776,1031,564,6,50,1651,98.56716418,1029,564,4,52,1649,98.44776119,322,192,4,15,533,31.82089552,827,526,6,52,1411,84.23880597,30,86,4,12,132,7.880597015,393,346,5,43,787,46.98507463,3541,4393,89,496,8519,161,299,0,50,510,5.986618148,364,21,0,0,385,22.98507463
17837,14775,14079,12148,31.89437686,16600,13545,13974,11805,34437,23953,30.44399919,125048,114763,91.77515834,7.5,50.17,41.23,681,459,5,35,1180,31,35,3,7,76,6.440677966,680,455,5,34,1174,99.49152542,677,455,5,34,1171,99.23728814,230,174,4,13,421,35.6779661,598,435,5,34,1072,90.84745763,65,71,4,13,153,12.96610169,323,290,5,28,646,54.74576271,2767,3877,53,353,7050,169,342,2,33,546,7.744680851,148,20,0,1,169,14.3220339
20265,18326,18570,17433,13.97483346,19191,17176,18190,16456,39456,33889,14.10938767,167088,145607,87.14390022,6.82,62.54,49.6,1755,831,3,87,2676,49,67,1,17,134,5.007473842,1741,817,3,85,2646,98.87892377,1738,810,3,85,2636,98.50523169,647,244,2,36,929,34.71599402,1644,791,3,85,2523,94.28251121,82,141,1,25,249,9.304932735,705,487,2,73,1267,47.34678625,4883,5738,25,836,11482,473,554,0,56,1083,9.432154677,501,27,0,1,529,19.76831091
30954,31611,32528,31478,-1.692834529,28971,29797,30992,30156,59925,61634,-2.851898206,285505,246487,86.33368943,58.13,75.71,64.7,1360,829,50,120,2359,64,193,47,60,364,15.43026706,1347,810,48,119,2324,98.51632047,1348,819,50,119,2336,99.0250106,574,422,46,78,1120,47.47774481,1255,791,50,116,2212,93.76854599,180,398,48,88,714,30.26706231,765,656,45,103,1569,66.51123357,4539,7650,1144,1231,14564,307,677,0,42,1026,7.044767921,305,39,1,10,355,15.04874947
24447,23145,23199,23000,5.918926658,21973,21006,21522,22037,46420,45037,2.979319259,220067,180329,81.94277197,47.69,73.48,61.46,1373,793,41,111,2318,42,172,37,55,306,13.20103538,1314,742,41,107,2204,95.08196721,1320,750,41,108,2219,95.72907679,319,271,40,60,690,29.76704055,1315,772,40,109,2236,96.46246764,112,258,40,67,477,20.57808456,687,605,39,97,1428,61.60483175,4222,7262,858,1396,13738,197,467,0,76,740,5.386519144,297,5,0,0,302,13.02847282
38262,34430,33909,33034,13.66368721,35782,32393,32733,31652,74044,64686,12.6384312,303249,272195,89.75957052,43.18,77.13,68.2,1909,1061,78,238,3286,135,258,65,125,583,17.74193548,1841,1025,76,230,3172,96.53073646,1835,1031,77,232,3175,96.62203287,513,477,64,148,1202,36.57942788,1767,1022,77,222,3088,93.97443701,175,307,67,127,676,20.57212416,902,734,65,176,1877,57.1211199,5939,9159,1663,2425,19186,337,634,10,86,1067,5.561346815,587,24,1,3,615,18.71576385
7809,6979,6935,6774,13.25393776,7479,6702,6840,6689,15288,13463,11.93746729,59900,56207,93.83472454,12.43,68.29,57.86,482,246,2,31,761,11,27,2,8,48,6.307490145,471,238,2,31,742,97.50328515,467,240,2,30,739,97.10906702,127,97,2,17,243,31.93166886,429,238,2,30,699,91.85282523,27,34,2,8,71,9.329829172,168,140,2,21,331,43.49540079,1876,2100,21,335,4332,122,255,0,54,431,9.949215143,150,10,0,0,160,21.02496715
20218,15982,14823,13839,31.55109309,19315,15563,14396,13657,39533,27496,30.44798017,133116,127793,96.00123201,6.43,66.92,56.97,1272,627,3,86,1988,39,68,2,18,127,6.38832998,1162,592,3,85,1842,92.65593561,1164,593,3,81,1841,92.6056338,622,383,2,56,1063,53.47082495,1118,583,3,82,1786,89.83903421,50,60,2,20,132,6.639839034,394,270,3,44,711,35.76458753,3760,4423,49,697,8929,232,382,0,64,678,7.593235525,302,21,0,1,324,16.29778672
